sepal.length,sepal.width,petal.length,petal.width,class
4.4481564,2.0196557,5.3444276,2.032996,Setosa
4.559699,2.0488954,5.059479,1.9981486,Setosa
4.3938084,2.0155,5.402315,2.1987164,Setosa
4.4106903,2.0128996,5.4533215,2.1784127,Setosa
4.484682,2.0271766,5.1414423,2.0914476,Setosa
4.3125277,2.0006478,5.8010926,2.3745441,Setosa
4.351888,2.0033977,5.5093064,2.2433841,Setosa
4.361397,2.0042884,5.5469375,2.22007,Setosa
4.761316,2.130645,4.8916106,1.8631532,Setosa
4.3338737,2.0030768,5.537726,2.32494,Setosa
4.3536043,2.0040326,5.5887227,2.248833,Setosa
4.453574,2.019596,5.304856,2.0715876,Setosa
4.4701853,2.0178425,5.369296,2.1609101,Setosa
4.5276885,2.0352182,4.971868,2.0159292,Setosa
4.326212,2.001777,5.8343863,2.341449,Setosa
4.3427744,2.0034068,5.7329097,2.2846131,Setosa
4.54466,2.0610168,4.9424973,1.9586954,Setosa
4.3484015,2.0051255,5.6464205,2.3164048,Setosa
4.352367,2.0048218,5.5661554,2.2778475,Setosa
4.393393,2.008514,5.1322823,2.1927562,Setosa
4.326977,2.0019,5.512905,2.3353457,Setosa
4.3644724,2.006329,5.592212,2.2168505,Setosa
4.51221,2.0407228,5.1225033,2.0152197,Setosa
4.568379,2.0463614,5.3007283,1.9755995,Setosa
4.356799,2.0054338,5.6176906,2.2711234,Setosa
4.3604264,2.0061617,5.5055757,2.2411678,Setosa
4.3598604,2.0056663,5.5794687,2.2092829,Setosa
4.8051,2.1346154,4.76145,1.8786176,Setosa
4.5190525,2.037844,5.163165,2.0562217,Setosa
4.6784644,2.0871773,5.006017,1.8987498,Setosa
4.4014034,2.0128832,5.1214175,2.139006,Setosa
4.4206133,2.0140958,5.206085,2.2033772,Setosa
4.574026,2.061563,4.921667,2.016169,Setosa
4.5740533,2.0627947,4.9979863,1.9182599,Setosa
4.3568454,2.0054622,5.580069,2.2494745,Setosa
4.3973637,2.0115185,5.500222,2.1967182,Setosa
4.4338055,2.0171046,5.201151,2.106184,Setosa
4.4353886,2.0190945,5.23964,2.1253872,Setosa
4.612017,2.0664482,4.985046,1.9896449,Setosa
4.377084,2.0088606,5.305035,2.2511103,Setosa
4.3268747,2.0016308,5.705048,2.302995,Setosa
4.3196206,2.0010006,5.5870085,2.3824859,Setosa
4.324868,2.0015514,5.6084704,2.3372693,Setosa
4.336867,2.0022871,5.5517793,2.227376,Setosa
4.5640163,2.0516634,5.020825,2.0396316,Setosa
4.3834295,2.0092704,5.313378,2.1118462,Setosa
4.346513,2.00477,5.5174503,2.203699,Setosa
4.4084835,2.0165794,5.128685,2.0702014,Setosa
4.394207,2.0083878,5.4871297,2.237884,Setosa
4.324141,2.0013256,5.6759367,2.3650794,Setosa
4.411147,2.013212,5.3745823,2.1591003,Versicolor
4.348468,2.0034184,5.6696014,2.2648332,Versicolor
4.4790764,2.0274243,5.2874546,2.076573,Versicolor
4.491299,2.0295002,5.2035317,2.0159516,Versicolor
4.3207297,2.0009391,5.8570647,2.3555403,Versicolor
4.3825707,2.008365,5.394378,2.2886233,Versicolor
4.319005,2.0014892,5.777947,2.343844,Versicolor
4.482287,2.029739,5.3865013,2.0217953,Versicolor
4.38349,2.0073447,5.331932,2.228662,Versicolor
4.398742,2.0096242,5.5081315,2.18707,Versicolor
4.4566426,2.0165768,5.2846107,2.0967638,Versicolor
4.47876,2.029397,4.95541,2.0439959,Versicolor
4.376774,2.0095012,5.4350195,2.1843266,Versicolor
4.4830384,2.032781,5.137169,2.027633,Versicolor
4.4850807,2.0287573,5.253007,2.079018,Versicolor
4.35732,2.0059009,5.3146315,2.1681046,Versicolor
4.3352222,2.0033386,5.490543,2.2440057,Versicolor
4.6089497,2.0571196,4.9312606,2.014021,Versicolor
4.318409,2.0009685,5.778345,2.3728783,Versicolor
4.4816947,2.0378652,5.2985497,1.986554,Versicolor
4.388028,2.009733,5.3412356,2.2394638,Versicolor
4.3655014,2.0050087,5.687478,2.2742996,Versicolor
4.3187013,2.0008144,5.720669,2.3492293,Versicolor
4.375623,2.0063505,5.24832,2.1925611,Versicolor
4.354461,2.0056682,5.5178485,2.201585,Versicolor
4.347757,2.0036056,5.706866,2.21649,Versicolor
4.709333,2.0886037,4.988824,1.9535831,Versicolor
4.558034,2.0525947,5.00709,2.0366488,Versicolor
4.3428726,2.0027866,5.7023244,2.236173,Versicolor
4.487205,2.0352964,5.0179653,2.0203023,Versicolor
4.330971,2.00171,5.700813,2.2920759,Versicolor
4.4573307,2.0229082,5.1843715,2.1469326,Versicolor
4.31241,2.0006607,5.928551,2.3669913,Versicolor
4.4588037,2.022765,5.2098565,2.0740232,Versicolor
4.538858,2.0358176,5.2358603,2.069983,Versicolor
4.352416,2.0055506,5.485188,2.210753,Versicolor
4.3452497,2.0038009,5.4974318,2.2768354,Versicolor
4.4918633,2.0333881,5.0584583,2.0403955,Versicolor
4.4342923,2.0196834,5.196074,2.0405343,Versicolor
4.439404,2.0154138,5.404683,2.081619,Versicolor
4.5015855,2.0362318,5.1368284,2.0059078,Versicolor
4.4451075,2.0155683,5.2720485,2.067483,Versicolor
4.5361924,2.0488517,4.9795084,2.005964,Versicolor
4.3073273,2.0003011,5.787234,2.4039605,Versicolor
4.687716,2.1033363,4.8440256,1.897543,Versicolor
4.3577743,2.0059621,5.4693193,2.1517067,Versicolor
4.3489213,2.0045474,5.526453,2.289116,Versicolor
4.3255816,2.0017605,5.886627,2.3264656,Versicolor
4.3248863,2.0015068,5.771925,2.3018076,Versicolor
4.3349743,2.0028512,5.8084965,2.2666907,Versicolor
4.654227,2.0631447,4.852256,2.0778434,Virginica
4.4045863,2.0095284,5.3300123,2.2247317,Virginica
4.3994904,2.0109322,5.484318,2.1551518,Virginica
4.4164977,2.0148458,5.2423754,2.1418886,Virginica
4.3726597,2.007515,5.487035,2.211653,Virginica
4.355864,2.0060272,5.5135465,2.264632,Virginica
4.333978,2.0025985,5.7313137,2.3403056,Virginica
4.4925346,2.0294178,5.183112,2.0736728,Virginica
4.360183,2.0074935,5.494077,2.2362723,Virginica
4.618222,2.076095,4.8971334,2.0088055,Virginica
4.5374236,2.0436318,4.967689,1.9577925,Virginica
4.345488,2.0043442,5.5554504,2.27252,Virginica
4.5562086,2.0477607,4.9798107,2.0224984,Virginica
4.9689817,2.219936,4.6091185,1.7887154,Virginica
4.390906,2.0097969,5.214869,2.2246308,Virginica
4.3933153,2.0140672,5.239884,2.1708336,Virginica
4.3589745,2.0053341,5.469238,2.255018,Virginica
4.319226,2.0008183,5.582594,2.357233,Virginica
4.38913,2.0107095,5.379795,2.1599028,Virginica
4.4117517,2.0138135,5.2178483,2.1555195,Virginica
4.7188363,2.079409,4.957773,1.8598425,Virginica
4.3811417,2.0071616,5.4091587,2.1399906,Virginica
4.413195,2.0132492,5.210718,2.1303651,Virginica
4.349644,2.0060375,5.467763,2.2545028,Virginica
4.362762,2.006779,5.230406,2.3022733,Virginica
4.6023636,2.0671108,4.9816866,2.0054317,Virginica
4.423341,2.0186737,5.3366375,2.0909088,Virginica
4.5245886,2.0390282,4.894773,2.0130823,Virginica
4.3899956,2.0105958,5.3716407,2.214341,Virginica
4.357503,2.0050824,5.438486,2.2574954,Virginica
4.504055,2.0317996,5.2463307,2.1428921,Virginica
4.5146933,2.0280354,5.3326354,2.037658,Virginica
4.31302,2.00061,5.82389,2.3900359,Virginica
4.391797,2.0116727,5.213956,2.1525848,Virginica
4.302739,2.0000508,6.0244,2.4554617,Virginica
4.3258514,2.0013998,5.853748,2.3021297,Virginica
4.3673553,2.0072296,5.4430566,2.2539022,Virginica
4.514152,2.0393631,5.2561107,2.0009391,Virginica
4.9604044,2.1731584,4.873276,1.7542424,Virginica
4.4161425,2.014718,5.428699,2.2045703,Virginica
4.328831,2.0025992,5.69812,2.2638876,Virginica
4.4061837,2.0105484,5.3633504,2.1304238,Virginica
4.365131,2.0056484,5.3143663,2.1911247,Virginica
4.5339513,2.0358496,4.928163,2.0496929,Virginica
4.379287,2.0107121,5.416379,2.2065928,Virginica
4.3738036,2.006677,5.5706964,2.2155306,Virginica
4.4287176,2.0193212,5.2129364,2.0387254,Virginica
4.3988185,2.0139692,5.104069,2.1251915,Virginica
4.5674653,2.06232,5.0493383,1.9416423,Virginica
4.3671546,2.0056202,5.555152,2.2085884,Virginica
